1000000 5 0.4 10000
6681 192914 224931 168793 406681 
65183 153941 212860 102833 465183 
268405 22853 668405 24324 16013 
71738 178208 144625 471738 133691 
186092 75114 66500 586092 86202 
126454 102813 137617 106662 526454 
99548 192155 499548 35920 172829 
109972 103461 153392 123203 509972 
48993 145904 448993 128818 227292 
218264 46240 57837 618264 59395 
265489 17291 28820 22911 665489 
206213 65466 606213 58664 63444 
19739 197174 216036 419739 147312 
226271 36310 54474 626271 56674 
184319 75585 584319 70789 84988 
102288 135482 94782 502288 165160 
131552 93103 531552 135894 107899 
229016 28965 629016 47433 65570 
124224 139239 131852 524224 80461 
238807 37174 638807 43126 42086 
113797 116026 135844 513797 120536 
46754 151572 182062 446754 172858 
235849 635849 42600 48291 37411 
280943 12498 680943 8981 16635 
274305 674305 13877 22078 15435 
148701 548701 117195 51934 133469 
75353 219920 101342 475353 128032 
24747 160877 176640 424747 212989 
210551 57340 610551 27950 93608 
158514 83537 109285 558514 90150 
273203 673203 18056 24349 11189 
280522 680522 14172 13783 11001 
175693 575693 96121 98603 53890 
194919 594919 62943 64129 83090 
80998 480998 108490 202740 126774 
17103 168453 213644 183697 417103 
263322 26822 663322 27168 19366 
36935 228057 147529 150544 436935 
67415 146419 124480 467415 194271 
224560 39535 624560 50673 60672 
199405 599405 50886 53750 96554 
231453 52948 37185 631453 46961 
133654 143582 79009 533654 110101 
213135 54494 613135 58105 61131 
92260 168963 492260 111778 134739 
290424 5853 7122 6177 690424 
275311 21649 17998 9731 675311 
110313 85745 117884 175745 510313 
117739 103934 517739 132094 128494 
103679 103682 503679 172177 116783 
54755 454755 150183 137698 202609 
108453 121219 508453 158863 103012 
49099 449099 212966 111207 177629 
61813 161086 161690 153598 461813 
55833 455833 172180 144636 171518 
31758 248394 431758 129320 158770 
116662 102422 173118 91136 516662 
23893 188888 191656 423893 171670 
181593 116851 581593 31476 88487 
47797 447797 154323 142001 208082 
115112 515112 101905 171049 96822 
255157 33830 32435 655157 23421 
143198 543198 149796 77841 85967 
195278 73173 49744 595278 86527 
18077 194836 195174 173836 418077 
70229 150713 470229 137355 171474 
193055 54397 75224 84269 593055 
163343 563343 123644 88031 61639 
287654 687654 6838 12262 5592 
181378 64261 581378 72429 100554 
254699 20908 37101 32593 654699 
150527 108346 128723 61877 550527 
212182 40127 60867 74642 612182 
78202 119770 478202 166331 157495 
189020 44965 589020 72939 104056 
235074 635074 35863 47904 46085 
103301 127850 102224 503301 163324 
284129 9745 9758 684129 12239 
79886 131311 140209 168708 479886 
257781 14147 36051 34240 657781 
57671 113714 146700 457671 224244 
293867 3042 4512 4712 693867 
18662 170978 149270 242428 418662 
155901 69117 105967 555901 113114 
79039 192654 118477 130791 479039 
104112 504112 116408 187710 87658 
67129 123278 120957 221507 467129 
286661 8924 9661 8093 686661 
285672 10845 6534 11277 685672 
59583 160001 459583 228883 91950 
41320 441320 114182 218862 184316 
291990 691990 4875 5122 6023 
69666 469666 162806 154915 142947 
96492 148654 128277 130085 496492 
133624 103375 82605 533624 146772 
267348 20187 24793 20324 667348 
233659 43913 633659 44408 44361 
31079 131162 181586 225094 431079 
140431 74419 101832 142887 540431 
217661 617661 61251 58898 44529 
49977 449977 196786 164541 138719 
98034 120658 117364 165910 498034 
210751 55775 61614 610751 61109 
80167 105697 121869 212100 480167 
12559 412559 166178 199347 209357 
192778 77647 60417 76380 592778 
58604 152832 458604 116676 213284 
258848 36076 658848 18777 27451 
73408 116990 150251 473408 185943 
64580 141957 181651 147232 464580 
185740 78133 77509 585740 72878 
255492 655492 21632 25938 41446 
256345 39207 27588 20515 656345 
241250 641250 40141 26225 51134 
242700 49253 642700 26827 38520 
256416 656416 33900 25080 28188 
172838 65040 572838 83423 105861 
192735 48565 77064 88901 592735 
99969 499969 116206 127274 156582 
250262 28699 32438 650262 38339 
226337 626337 40812 62926 43588 
7551 191027 176969 407551 216902 
63669 178363 169424 124875 463669 
294031 6222 4064 1652 694031 
180104 87857 100527 51408 580104 
55754 153053 455754 176821 158618 
287149 687149 9771 10196 5735 
102690 502690 149905 159988 84727 
223024 59687 623024 46583 47682 
187804 59053 587804 93652 71687 
252517 19472 37557 37937 652517 
20247 169071 146386 244049 420247 
84032 484032 183219 86951 161766 
189836 589836 65882 44237 110209 
293382 4281 5289 693382 3666 
256893 31900 656893 28070 26244 
161860 62452 141721 561860 72107 
206509 79109 55023 52850 606509 
232198 53349 51331 632198 30924 
297913 697913 1115 1529 1530 
181287 581287 78725 83506 75195 
186729 80728 91154 586729 54660 
98041 107047 192054 104817 498041 
115204 141947 145370 515204 82275 
227237 44401 56381 627237 44744 
139488 158019 61943 101062 539488 
222416 48292 57187 622416 49689 
105817 157921 104872 125573 505817 
90136 490136 140506 94232 184990 
123844 156027 523844 153022 43263 
250014 46332 18704 650014 34936 
193139 54724 88897 70101 593139 
128825 85644 528825 142639 114067 
218385 49097 56586 57547 618385 
220170 76654 38341 44665 620170 
18393 418393 172531 178184 212499 
112338 512338 169585 140927 64812 
279749 10524 13489 16489 679749 
39967 147093 439967 204012 168961 
79077 479077 126363 221795 93688 
36140 143954 214333 436140 169433 
202298 40446 61091 602298 93867 
54905 166723 137509 454905 185958 
22111 209546 422111 157811 188421 
169790 103577 569790 81691 75152 
73700 134387 186845 131368 473700 
7213 201739 187680 196155 407213 
75273 475273 125159 133645 190650 
76727 169042 120205 157299 476727 
297332 1664 1913 1759 697332 
109912 168760 509912 86276 125140 
13844 413844 229305 165696 177311 
153491 66942 553491 120802 105274 
271170 21909 19624 671170 16127 
263057 663057 17930 17407 38549 
164715 564715 108603 74187 87780 
72249 188202 126836 140464 472249 
273924 673924 14107 22131 15914 
15627 166362 271799 130585 415627 
45748 136210 196001 445748 176293 
201177 69478 72593 55575 601177 
93600 493600 165471 158739 88590 
46506 446506 156733 202642 147613 
283067 14163 10081 9622 683067 
296680 696680 3122 1534 1984 
157375 91184 557375 101867 92199 
154787 554787 140252 85142 65032 
1105 205787 401105 238936 153067 
149740 93935 80567 126018 549740 
22632 203494 422632 153328 197914 
9412 189031 409412 202318 189827 
164151 89623 87558 564151 94517 
251982 34138 41672 20226 651982 
201295 601295 71754 57620 68036 
267098 18425 25926 667098 21453 
123375 76817 197406 79027 523375 
26315 171944 209466 426315 165960 
20986 420986 157315 185616 215097 
117475 517475 134398 114278 116374 
219203 50463 619203 45338 65793 
207933 59523 51708 607933 72903 
159232 559232 101023 93631 86882 
155621 70377 114560 103821 555621 
56725 160143 176324 456725 150083 
116827 119198 62621 184527 516827 
162781 77821 108849 87768 562781 
188636 50206 588636 98523 73999 
239303 52777 31002 639303 37615 
196867 59305 596867 59278 87683 
12190 174888 192852 412190 207880 
202823 61774 602823 63484 69096 
135285 96159 76551 535285 156720 
234040 47850 48966 634040 35104 
139130 120636 539130 66985 134119 
296888 2182 696888 2422 1620 
90504 97400 490504 187454 134138 
81541 481541 178556 155140 103222 
91849 143091 49497 223714 491849 
161409 561409 89580 76116 111486 
182735 60305 582735 98734 75491 
164128 78478 71213 564128 122053 
226199 46732 39611 61259 626199 
39050 153234 183702 439050 184964 
43663 147220 443663 221096 144358 
168954 41472 568954 124825 95795 
98670 498670 131880 118918 151862 
201803 70788 601803 63042 62564 
99702 152583 134361 499702 113652 
228525 48688 628525 34118 60144 
113285 125537 116466 513285 131427 
68064 161100 468064 161268 141504 
23512 423512 195602 128875 228499 
298767 880 698767 875 711 
229641 63074 37814 629641 39830 
124082 524082 110479 142371 98986 
25918 425918 189342 197670 161152 
190425 47300 93611 78239 590425 
71861 471861 191411 150632 114235 
136513 88081 536513 150625 88268 
76326 176239 476326 131520 139589 
205369 43900 67915 605369 77447 
287329 687329 6401 8764 10177 
104478 166742 504478 58820 165482 
66947 181958 123487 466947 160661 
238997 52164 29062 40780 638997 
233647 44007 40210 48489 633647 
111156 115800 118176 511156 143712 
65831 172369 465831 189833 106136 
189124 92306 65645 63801 589124 
24901 242667 159735 147796 424901 
91123 491123 165014 140054 112686 
297103 2074 697103 1946 1774 
155635 83800 555635 80515 124415 
357 171553 400357 213616 214117 
108257 124012 119447 140027 508257 
215602 615602 32025 80593 56178 
251777 28723 30130 651777 37593 
119104 100179 209375 519104 52238 
64390 141748 464390 202987 126485 
45895 208879 131706 445895 167625 
187553 587553 71606 42114 111174 
102375 205951 122953 66346 502375 
140284 88354 540284 109866 121212 
112418 144695 512418 145888 84581 
239442 42981 36862 41273 639442 
126724 122000 526724 172352 52200 
115957 515957 99138 73439 195509 
84981 165542 484981 162201 102295 
213860 34128 60726 613860 77426 
256639 28028 18854 39840 656639 
277722 677722 10221 16204 18131 
243976 24484 49825 37739 643976 
187377 93077 587377 71891 60278 
152193 105791 64905 124918 552193 
36341 170113 194454 436341 162751 
161127 152171 57210 561127 68365 
199583 64264 77732 58838 599583 
104919 105384 111390 173388 504919 
200859 82639 64448 600859 51195 
58737 137472 458737 186256 158798 
118415 146626 518415 85705 130839 
130648 530648 91498 127234 119972 
267609 24738 18108 21936 667609 
158519 67189 127192 88581 558519 
211183 611183 61789 56076 59769 
197904 62237 597904 72295 69660 
91557 491557 127273 163322 126291 
22256 168453 422256 207386 179649 
282613 10994 14784 8996 682613 
74925 202374 474925 107315 140461 
92486 116173 119067 179788 492486 
56515 179864 128331 456515 178775 
24441 235440 424441 183207 132471 
34050 143751 434050 185041 203108 
46368 146041 446368 200867 160356 
177943 71023 70055 103036 577943 
99082 164114 81187 156535 499082 
160015 132296 56828 560015 90846 
82765 482765 174353 164267 95850 
42531 231638 442531 159949 123351 
179291 73238 111702 56478 579291 
298649 776 861 698649 1065 
97054 142210 497054 126937 136745 
112873 123015 132606 512873 118633 
200921 61151 600921 57319 79688 
195893 61860 89057 595893 57297 
246053 646053 41019 36355 30520 
164334 102966 55958 112408 564334 
279525 15404 13893 679525 11653 
131260 531260 111795 114875 110810 
142629 542629 140947 81830 91965 
94871 170982 494871 129278 109998 
241612 35167 46009 641612 35600 
203399 603399 50376 71929 70897 
41625 144159 216114 156477 441625 
34677 119009 221919 434677 189718 
123029 523029 150619 89360 113963 
278785 16040 15958 678785 10432 
20712 185433 190630 182513 420712 
233144 42257 69920 633144 21535 
110767 137308 93955 147203 510767 
150544 550544 97759 74423 126730 
195142 64564 595142 73259 71893 
23842 204301 423842 145729 202286 
137443 109630 63991 151493 537443 
274620 19160 13340 674620 18260 
172222 86999 572222 84042 84515 
141171 87570 541171 98061 132027 
129857 55827 163189 121270 529857 
129412 529412 137082 111099 92995 
121047 122854 521047 120199 114853 
196609 48219 596609 86485 72078 
76124 197120 476124 109598 141034 
934 190141 203038 400934 204953 
290167 690167 5408 6193 8065 
140993 108743 73619 135652 540993 
21975 188427 196153 171470 421975 
287821 4654 6137 13567 687821 
110192 132344 77019 510192 170253 
286044 9881 686044 8219 9812 
136691 96406 122588 107624 536691 
49444 143859 192446 449444 164807 
60362 207323 460362 166438 105515 
106307 141057 124037 122292 506307 
230286 43735 49358 46335 630286 
64185 106810 109381 255439 464185 
4467 404467 174238 213634 203194 
269160 24238 20403 17039 669160 
58572 130115 188250 458572 164491 
244577 26529 40379 644577 43938 
256260 33783 31889 21808 656260 
191529 95509 65966 55467 591529 
81858 119980 135289 481858 181015 
143150 543150 119054 72661 121985 
171960 76447 69253 571960 110380 
172916 50811 102702 572916 100655 
97939 137514 159007 107601 497939 
141234 101988 541234 103693 111851 
285919 9577 685919 11496 7089 
127098 527098 127225 108582 109997 
166649 566649 105961 98634 62107 
272110 672110 25026 15453 15301 
174183 66337 95900 574183 89397 
142133 109195 542133 121746 84793 
201845 68206 601845 48241 79863 
48251 114086 448251 206281 183131 
248507 49409 648507 25997 27580 
153131 88427 553131 108206 97105 
234918 35329 634918 53220 41615 
146959 68226 153298 546959 84558 
275284 17039 17006 15387 675284 
67480 100042 137788 467480 227210 
165308 79712 565308 98037 91635 
158463 109811 558463 68783 104480 
143384 110445 41587 161200 543384 
154359 92562 96463 102257 554359 
122382 522382 128272 121791 105173 
161552 91113 78222 107561 561552 
237218 637218 34539 51714 39311 
150367 102712 550367 94244 102310 
77991 112744 124708 477991 206566 
150103 111036 101361 550103 87397 
271458 20302 19959 16823 671458 
199577 97942 599577 49218 53686 
234215 67450 28824 634215 35296 
231477 50738 35711 631477 50597 
289285 4646 7240 689285 9544 
192525 592525 61551 74780 78619 
31898 170901 431898 175139 190164 
56868 170028 220086 456868 96150 
152258 128342 93897 552258 73245 
43914 443914 151438 148457 212277 
229958 48530 50145 629958 41409 
291201 3708 6594 7296 691201 
141058 138105 114733 65046 541058 
222764 38439 57618 58415 622764 
171625 571625 73247 118236 65267 
106299 109805 84321 193276 506299 
35135 166564 190933 172233 435135 
240596 35445 640596 38302 45061 
48021 119209 185953 448021 198796 
152129 552129 134057 103996 57689 
93003 493003 141106 129605 143283 
57335 201242 123906 457335 160182 
247990 34922 36394 647990 32704 
145827 67837 127745 112764 545827 
273915 21264 14474 673915 16432 
1867 243810 210155 401867 142301 
226234 44181 50126 53225 626234 
129805 529805 107757 107090 125543 
36929 436929 150217 175676 200249 
237208 27378 637208 51955 46251 
253720 23012 35577 653720 33971 
67127 175564 467127 79279 210903 
52270 161987 452270 147029 186444 
156822 556822 104692 70492 111172 
118695 110642 92329 518695 159639 
17183 417183 196382 174468 194784 
202514 54400 71613 68959 602514 
116683 516683 142082 150823 73729 
228158 62788 43592 37304 628158 
215274 64687 615274 43082 61683 
133742 89204 78758 533742 164554 
250218 36932 36379 650218 26253 
61947 160386 127547 188173 461947 
157437 118253 557437 93349 73524 
289422 9178 689422 6027 5951 
113259 152813 120136 100533 513259 
203957 59185 76324 56577 603957 
176861 84594 78400 83284 576861 
66269 173751 176004 466269 117707 
87865 487865 152581 172159 99530 
299903 91 50 699903 53 
10828 236380 189999 410828 151965 
257997 22133 31228 657997 30645 
278082 13796 678082 19354 10686 
212130 612130 58416 62843 54481 
1801 243968 150770 201660 401801 
87009 487009 91892 104735 229355 
193569 593569 80897 67137 64828 
201412 65106 75090 601412 56980 
236894 50572 37830 37810 636894 
67329 126422 152201 186719 467329 
23031 201583 423031 147567 204788 
112248 185922 95226 512248 94356 
238412 638412 41819 30810 50547 
242644 27607 44599 642644 42506 
296957 1866 696957 2657 1563 
47991 166959 134705 202354 447991 
279552 679552 11322 13103 16471 
225247 66033 32243 625247 51230 
124711 65546 161093 524711 123939 
74273 474273 201716 130356 119382 
43820 223613 172970 115777 443820 
182973 62322 582973 79738 91994 
150103 550103 117710 77098 104986 
294382 4743 3184 694382 3309 
177143 69065 102097 577143 74552 
173838 90410 99129 573838 62785 
137882 138442 537882 90998 94796 
279351 16825 679351 6614 17859 
258902 658902 21567 29013 31616 
29215 429215 193734 168675 179161 
165107 565107 70704 68660 130422 
263978 16727 663978 36742 18575 
270606 670606 23381 26881 8526 
27282 188902 142635 213899 427282 
39180 146292 129968 439180 245380 
242151 38989 23609 642151 53100 
153112 77447 156676 553112 59653 
146978 130920 86073 546978 89051 
231704 52310 631704 61533 22749 
224488 65219 54407 31398 624488 
215942 67197 615942 32265 68654 
173369 47104 99220 573369 106938 
35408 435408 165649 157254 206281 
266662 24204 24642 666662 17830 
66464 466464 108681 164074 194317 
137452 81946 537452 132569 110581 
73392 228519 135969 88728 473392 
126600 152782 97584 526600 96434 
230846 26519 630846 69720 42069 
112139 124440 512139 158890 92392 
33138 157714 157967 433138 218043 
61205 162177 155276 160137 461205 
210163 41218 66584 71872 610163 
169497 46004 112193 569497 102809 
174950 574950 84734 88786 76580 
293709 693709 2670 4969 4943 
1144 238840 401144 198123 160749 
10172 410172 194919 199909 184828 
83952 106942 483952 193049 132105 
247525 17117 43185 647525 44648 
277251 14913 8521 22064 677251 
56699 187664 147322 456699 151616 
211241 49828 611241 82735 44955 
207577 607577 65912 83560 35374 
62980 462980 168522 188324 117194 
190890 78427 86538 53255 590890 
280543 14834 11440 680543 12640 
163184 46914 87527 139191 563184 
136930 536930 149411 101985 74744 
293995 3076 693995 5022 3912 
24168 141765 424168 201526 208373 
232205 632205 43955 43396 48239 
134016 107089 110049 114830 534016 
16746 166969 416746 173630 225909 
22015 196880 194757 422015 164333 
137434 537434 114564 116300 94268 
185058 90241 585058 66632 73011 
228923 628923 40246 44505 57403 
208680 76484 56961 608680 49195 
192592 592592 69703 102315 42798 
102959 502959 120348 120231 153503 
212721 65410 58063 612721 51085 
104956 142275 114794 504956 133019 
196342 85103 596342 80579 41634 
65491 162573 134473 465491 171972 
167 212896 228261 400167 158509 
32163 162989 432163 184771 187914 
147592 119451 54139 547592 131226 
6688 192014 213027 181583 406688 
78724 172355 478724 108513 161684 
242969 47648 22872 43542 642969 
92941 109837 184935 492941 119346 
122558 98919 130251 522558 125714 
196613 55730 84071 596613 66973 
157335 557335 100871 95763 88696 
299244 699244 474 384 654 
251350 36390 26089 34821 651350 
212079 71185 53004 612079 51653 
50080 132647 171466 450080 195727 
297811 1542 1753 697811 1083 
167790 82079 567790 106353 75988 
69103 118069 220507 469103 123218 
106122 91173 506122 119789 176794 
18145 144838 218584 418145 200288 
29352 136887 214870 189539 429352 
234473 46584 37252 47218 634473 
237886 637886 45367 41789 37072 
36257 148197 175685 436257 203604 
105195 126786 88371 174453 505195 
18695 418695 177434 207259 177917 
208861 608861 66171 48998 67109 
110055 510055 103805 117534 158551 
2530 214800 182026 198114 402530 
227685 52157 627685 46774 45699 
266768 19723 26558 20183 666768 
254130 31513 17681 654130 42546 
119160 144963 62373 154344 519160 
100418 500418 145184 120139 133841 
274770 674770 17727 20381 12352 
64068 464068 146875 174052 150937 
133501 533501 84088 181407 67503 
189640 97607 83218 589640 39895 
9009 214494 151218 409009 216270 
251599 29721 651599 40155 26926 
76889 476889 190351 104794 151077 
