1000000 5 0.2 10000
169421 369421 226266 131490 103402 
295086 67476 78942 63410 495086 
267507 119005 467507 100150 45831 
351714 49785 551714 23053 23734 
120730 320730 176139 180848 201553 
186643 386643 132513 142905 151296 
162950 159548 174640 362950 139912 
51954 236007 234373 251954 225712 
207214 407214 182181 86643 116748 
83248 203532 215774 214198 283248 
268797 80547 116058 468797 65801 
277354 94666 477354 74055 76571 
369066 569066 25146 19371 17351 
242243 151767 442243 112790 50957 
42071 238303 238915 238640 242071 
329309 529309 49840 51046 40496 
180115 158209 118169 163392 380115 
290874 68987 79331 490874 69934 
299365 64488 499365 52211 84571 
198434 119908 143684 139540 398434 
321835 36243 59060 521835 61027 
158430 358430 150265 178999 153876 
187045 387045 136641 172052 117217 
330305 12686 69671 530305 57033 
157936 357936 170312 197187 116629 
287369 77966 487369 60588 86708 
154445 139772 176480 354445 174858 
66487 243840 266487 201901 221285 
275739 84694 84041 475739 79787 
118319 179873 194042 189447 318319 
59292 228092 238827 214497 259292 
383998 583998 16089 7000 8915 
326134 526134 50007 48747 48978 
281189 73455 481189 96268 67899 
164535 165370 364535 161386 144174 
107990 180992 190464 212564 307990 
82738 211204 282738 229505 193815 
257813 111465 113048 457813 59861 
311093 44401 62421 511093 70992 
167365 367365 145523 162044 157703 
348525 548525 41199 29604 32147 
238262 117755 438262 134784 70937 
379173 9176 579173 21272 11206 
58706 223695 225290 233603 258706 
70048 201886 236286 270048 221732 
382919 582919 11439 12040 10683 
290669 490669 82074 86274 50314 
387393 587393 10035 7192 7987 
154957 145665 354957 194227 150194 
120909 207445 193589 320909 157148 
294612 66242 58669 85865 494612 
227812 427812 120540 110512 113324 
317241 517241 58764 35739 71015 
142251 342251 174098 181607 159793 
45032 245032 235597 237410 236929 
102818 187253 302818 190999 216112 
377780 10823 17557 16060 577780 
133983 178650 333983 195289 158095 
90374 216135 179507 290374 223610 
114859 199633 236874 314859 133775 
176677 138835 102570 205241 376677 
124931 212911 173597 324931 163630 
52115 252115 231290 227445 237035 
349680 36029 36773 549680 27838 
388059 7286 588059 5933 10663 
119699 319699 156403 190246 213953 
248141 102661 95892 448141 105165 
361724 23809 21582 31161 561724 
231718 431718 125427 108758 102379 
111970 212976 160459 311970 202625 
185024 192799 134366 385024 102787 
195544 149029 122771 137112 395544 
185822 137611 142334 148411 385822 
42094 238473 236909 242094 240430 
252733 81964 138021 74549 452733 
274525 88880 76716 474525 85354 
126342 326342 174877 159465 212974 
85512 285512 196043 221647 211286 
270022 94505 63361 470022 102090 
210208 410208 79794 175163 124627 
377656 13920 17240 13528 577656 
118407 171807 178412 318407 212967 
333224 533224 37835 39643 56074 
215181 130876 122193 116569 415181 
149506 183831 349506 169247 147910 
261015 96174 50042 131754 461015 
198166 398166 124366 162395 116907 
157908 357908 152872 144570 186742 
171391 190780 131015 135423 371391 
294839 74770 38290 97262 494839 
320753 51666 55659 520753 51169 
139405 179526 170972 339405 170692 
155231 169471 355231 179788 140279 
311431 46854 70352 59932 511431 
216962 180142 92033 93901 416962 
396513 596513 2194 2102 2678 
40716 239275 239835 239458 240716 
97068 297068 234749 184124 186991 
302672 49439 79212 66005 502672 
150670 143994 165493 189173 350670 
291118 95496 491118 45157 77111 
115283 315283 185334 195887 188213 
356594 40928 556594 33626 12258 
271731 76021 84384 471731 96133 
323672 523672 41867 54020 56769 
257888 126034 74290 83900 457888 
235888 34350 127983 435888 165891 
390351 7244 3840 8214 590351 
82313 282313 223144 226671 185559 
387612 4627 10215 587612 9934 
141013 341013 189879 165056 163039 
138396 164402 193057 338396 165749 
44760 236374 244760 235839 238267 
104449 304449 197202 209723 184177 
43524 236835 238333 243524 237784 
324363 38062 524363 54952 58260 
85668 227680 215729 285668 185255 
387555 10346 7979 587555 6565 
84980 201750 205756 222534 284980 
64926 218897 264926 215740 235511 
166375 366375 166329 171328 129593 
266768 79969 466768 127634 58861 
62832 221583 237843 262832 214910 
73795 273795 211108 235763 205539 
341101 47179 38352 541101 32267 
307545 61055 83863 507545 39992 
128368 200323 328368 191747 151194 
380819 580819 16454 6326 15582 
384801 11410 584801 8449 10539 
167989 367989 169906 184000 110116 
297943 66266 69780 497943 68068 
199180 399180 155763 102279 143598 
351677 551677 32038 41385 23223 
377086 7534 19428 18866 577086 
171655 159358 371655 139267 158065 
80374 280374 215072 236833 187347 
58348 216126 258348 241067 226111 
134920 174591 169996 185573 334920 
329958 57422 42404 529958 40258 
339939 539939 40027 26347 53748 
177870 145126 131460 377870 167674 
142350 151198 197409 342350 166693 
380198 15432 13190 10982 580198 
362379 28762 27662 18818 562379 
285740 125046 42397 61077 485740 
