1000000 5 0.3 10000
215516 515516 114196 67743 87029 
51035 200213 209523 188194 351035 
219380 519380 49821 88137 123282 
177553 195681 79433 477553 69780 
282009 49552 51110 582009 35320 
111894 161542 131545 411894 183125 
93003 393003 126879 163110 224005 
169546 179457 82330 99121 469546 
58327 358327 191293 182515 209538 
225341 82221 525341 65525 101572 
137731 97455 437731 156921 170162 
249876 47979 549876 91278 60991 
93842 157574 153231 393842 201511 
175967 158831 84224 105011 475967 
161266 76013 461266 125321 176134 
4466 304466 246517 244087 200464 
89304 207904 144621 168867 389304 
11411 235713 238815 202650 311411 
208501 59660 508501 99730 123608 
107151 143187 407151 129305 213206 
90681 161923 178874 390681 177841 
69589 198487 369589 170514 191821 
204587 66389 504587 159426 65011 
163471 127748 146132 99178 463471 
157192 98691 457192 164719 122206 
24602 237408 181762 324602 231626 
243504 46843 84557 543504 81592 
40943 340943 221625 188236 208253 
64715 160693 204662 364715 205215 
295247 28771 42518 595247 38217 
294468 22503 594468 47437 41124 
34562 214561 212015 334562 204300 
63670 195160 202141 175359 363670 
89269 389269 119157 223106 179199 
166046 103359 138774 466046 125775 
278987 42573 62691 578987 36762 
110826 151497 181763 410826 145088 
37443 201205 337443 247150 176759 
148658 118251 448658 128288 156145 
297193 42029 22950 40635 597193 
252268 61766 35920 97778 552268 
294755 594755 46329 33250 30911 
252702 552702 63458 47561 83577 
240349 74819 540349 62272 82211 
303526 32019 603526 39741 21188 
297759 49787 28226 26469 597759 
116408 91782 133789 416408 241613 
90104 390104 145555 128827 245410 
43171 343171 196603 160785 256270 
166312 103107 116956 466312 147313 
2840 253842 221060 302840 219418 
130350 194639 119775 124886 430350 
6733 306733 213466 246657 226411 
118525 193992 418525 111285 157673 
283863 34780 53066 44428 583863 
130821 154458 189672 94228 430821 
211398 108735 77184 511398 91285 
78029 378029 188932 155225 199785 
74139 137456 191357 222909 374139 
201932 92794 501932 106710 96632 
23030 323030 222634 226661 204645 
155777 455777 110359 149430 128657 
40234 211251 259056 340234 149225 
306582 27623 606582 30307 28906 
20459 320459 201833 232698 224551 
73917 373917 219658 176014 156494 
186397 125296 486397 71885 130025 
288330 41718 41012 588330 40610 
316412 616412 26140 16875 24161 
202191 68822 114469 502191 112327 
58316 163724 244257 175387 358316 
319216 14946 30350 16272 619216 
33227 170114 241192 222240 333227 
55271 179805 242813 166840 355271 
298784 598784 31309 40450 30673 
22101 322101 216001 204366 235431 
274904 574904 37711 64142 48339 
250748 90934 67196 550748 40374 
10649 227186 238217 213299 310649 
320890 23929 620890 17572 16719 
